#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date
35,Ecuador,170110,548.0,12698.0,6.0,149048.0,,8364.0,342.0,9593,716.0,549943.0,31012.0,17733276,South America,104,1397.0,32.0,11/03/2020
36,Portugal,149443,2596.0,2635.0,45.0,86589.0,3295.0,60219.0,320.0,14671,259.0,3482414.0,341866.0,10186476,Europe,68,3866.0,3.0,11/03/2020
37,Bolivia,141867,34.0,8741.0,10.0,112055.0,207.0,21071.0,71.0,12098,745.0,334452.0,28520.0,11726750,South America,83,1342.0,35.0,11/03/2020
38,UAE,136149,1008.0,503.0,6.0,133490.0,1466.0,2156.0,,13710,51.0,13465166.0,1355899.0,9930804,Asia,73,19743.0,1.0,11/03/2020
39,Panama,134915,,2720.0,,112565.0,,19630.0,115.0,31103,627.0,680908.0,156977.0,4337625,North America,32,1595.0,6.0,11/03/2020
40,Sweden,134532,,5969.0,10.0,,,,73.0,13293,590.0,2242469.0,221572.0,10120710,Europe,75,1696.0,5.0,11/03/2020
41,Qatar,133143,226.0,232.0,,130202.0,206.0,2709.0,38.0,47419,83.0,989992.0,352586.0,2807805,Asia,21,12103.0,3.0,11/03/2020
42,Kuwait,128080,787.0,789.0,3.0,119080.0,694.0,8211.0,110.0,29843,184.0,933626.0,217535.0,4291851,Asia,34,5440.0,5.0,11/03/2020
43,Dominican Republic,127848,257.0,2252.0,2.0,105982.0,348.0,19614.0,169.0,11746,207.0,605360.0,55615.0,10884784,North America,85,4833.0,18.0,11/03/2020
44,Austria,118198,4182.0,1192.0,33.0,74292.0,2601.0,42714.0,366.0,13098,132.0,2305382.0,255475.0,9023909,Europe,76,7570.0,4.0,11/03/2020
